id,reg_key,item_id,name,jurisdiction_source,category,is_current,version,version_hash,state_code,content_hash
189,REG-052,higher-education-act-plus-loans,Higher Education Act: PLUS Loans,state,Uncategorized,t,4,32ef90089af1258da9da6af0ad6f649e94fb8c5b6cc4e5a63b43f94f68e942dd,PA,f7973df41af1a21d146d30e652cda914717c7e30638821b87403785ceea8c0bf
190,REG-053,higher-education-act-penalties-for-drug-violations,Higher Education Act: Penalties for Drug Violations,state,Uncategorized,t,3,859d9f54a7512b5ad181982ef117b41064c420c35658eb91c70ec59034d71865,PA,6c10fe157a10361cecd96cc3f109e9b22156ed645b969557fbbdf34a259debac
191,REG-054,higher-education-act-perkins-loans,Higher Education Act: Perkins Loans,state,Uncategorized,t,3,cbd495e2fbb2aa5dbe1e4c27eb66a4f7ded9e72ad43e1d923eff285eebbc6b61,PA,2b18ff47e477cc827d36c0de954714fbf32df53c2cf5f87f310172ba1c350bf7
192,REG-055,higher-education-act-preferred-lenders,Higher Education Act: Preferred Lenders,federal,Financial Aid,t,3,2e03ee41b6c1e4aea2581a7dc1a065b56919846cae61c525cca627ac03ebdbf1,,
194,REG-057,higher-education-act-record-retention,Higher Education Act: Record Retention,state,Uncategorized,t,4,28823b2397de5486453b6a1fa3fa986c7c8b14dde5a64d94c646eb42fd6f6e9b,PA,cff558d5e06a372381a1a07822e12d4d70722e335fe48fb28b4b0572d72f0a62
195,REG-058,higher-education-act-standard-of-conduct,Higher Education Act: Standard of Conduct,state,Uncategorized,t,3,a2a24dfff604d166248296f3a490f158937bbfe965a4a7bb862cbef03420c2be,PA,f24eee23781dc14e80d532295560900689efc4cf13bbf64848c202b0215d0de4
197,REG-067,student-loan-default-prevention-initiative-act-of-,Student Loan Default Prevention Initiative Act of 1990,federal,Uncategorized,t,3,77c7ed5e12af7aad567b25d3abdebd6713bd56c8626fe77fe29340f1571345c7,,ffc873ead18367f0c662b7c36f537fc020329bea9ae9479c70021a7de625ff4c
198,REG-068,student-right-to-know-act,Student Right to Know Act,federal,Uncategorized,t,3,204069422e5c8d2482956913a8971532cb0e6a0ee1401995270936197a4365ba,,d5c04c37aace2f53580d947fa0402f9e11a01158e596adc70b45e032e38868af
201,REG-103,controlling-the-assault-of-non-solicited-pornograp,Controlling the Assault of Non-Solicited Pornography And Marketing Act of 2003 (CAN-SPAM Act),federal,Information Technology,t,4,a45ea58fe9025b0c09feb951b678c27667458faeb4359fdc60c6f4b3b7ea9f29,,
204,REG-247,internal-revenue-code-substantiation-and-disclosur,Internal Revenue Code: Substantiation and Disclosure Provisions,federal,Fundraising & Development,t,3,3a9316b269e4f80f7618821cd6f1d4597a2350c92ad8bd18bcb22b658255ef35,,
205,REG-248,pension-protection-act,Pension Protection Act,federal,Fundraising & Development,t,3,65cfcd857823ae59f7f1602bb47d7404f499175a54278fb5f0bbe6abba233cbc,,
206,REG-249,philanthropy-protection-act-of-1995,Philanthropy Protection Act of 1995,federal,Fundraising & Development,t,3,aaed277595351166bef6d6e733a1adbc3b90a4d24176cbb14418850108b00a56,,
207,REG-176,federal-sentencing-guidelines,Federal Sentencing Guidelines,federal,Governance,t,3,36fad229db916b52f43c5a805dcb06092b07a0da4cb6e53b1f03d96f28f545fb,,
208,REG-184,internal-revenue-service-governance-information-re,Internal Revenue Service: Governance Information Required on Form 990,federal,Governance,t,4,47edc110b28e77074f7a1bfed121ae63ea2f84c4885e45d5765b3456a0d127da,,
211,REG-104,department-of-education-general-administrative-reg,Department of Education General Administrative Regulations and Other Applicable Grant Regulations,federal,Grants Management,t,4,992a7db5fe4abc117964bd163e8ec94778a0e61bcbcc6161219c3de3ebb59737,,
212,REG-011,false-claims-act,False Claims Act,federal,Fraud Prevention,t,4,6906cfbfbba6573f5b87426f0a337f3da73bf6770955712cf27814b12c096b48,,
213,REG-111,federal-awardee-performance-and-integrity-informat,Federal Awardee Performance and Integrity Information System (FAPIIS),federal,Grants Management,t,3,1bce31a8e33ce7e2a24b41073e8817a91c75503baae1bd8640e4de6bbf3909c4,,
214,REG-112,federal-funding-accountability-and-transparency-ac,Federal Funding Accountability and Transparency Act of 2006 (FFATA),federal,Grants Management,t,3,0ff39b960c25dbe6a30c438ac57ae47da9a1935c2352edc2f2ec778c1cf49362,,
215,REG-113,fraud-enforcement-and-recovery-act-of-2009-fera,Fraud Enforcement and Recovery Act of 2009 (FERA),federal,Grants Management,t,3,92769d4d3d35f457040c0cd2fecfc36cf6a3ab80d5919ce293fec515294f4f9f,,
216,REG-102,controlled-substances-act,Controlled Substances Act,federal,Health Care and Insurance,t,3,f7f0d9c2cc762c4685f50592cfba1ce30dddf54023cb16c727cd906fef4942d3,,
217,REG-020,hipaa,Health Insurance Portability and Accountability Act (HIPAA),federal,Privacy & Information Security,t,6,f55a1ce912b0a3c93f23ce905b16d81ea5feb65cf781988b0cbf1f990116bb89,,
218,REG-137,higher-education-opportunity-act,Higher Education Opportunity Act,federal,Information Technology,t,4,b18f7a7b24cadc997b576d96c5323c28619759938f409d77aa6ab9d35b4db27a,,
223,REG-217,nsf-grant-term-and-condition-september-21-2018,"NSF grant term and condition, September 21, 2018",federal,Human Resources,t,4,625c4d4793fa04f73d47bb208a8b8f2d1c10182237075e151f1583f67190ede2,,
224,REG-159,student-exchange-and-visitor-information-system-se,Student Exchange and Visitor Information System (SEVIS),federal,Immigration,t,4,714a1d8577555fe6d5e9b2a140a37d3f27bd263012b9acb62299556f8fd31d78,,
225,REG-154,immigration-and-nationality-act-ina,Immigration and Nationality Act (INA),federal,"Immigration,Recruitment Hiring & Termination",t,4,9501be892135c92b4e658ac5d345460059dbfebb69f52bc887e3127646cac23b,,
226,REG-101,communications-assistance-for-law-enforcement-act-,Communications Assistance for Law Enforcement Act (CALEA),federal,Information Technology,t,3,c00de6f2e9ea0f7d1d73317f9c8972b003dae08836c8af5e3da25e2d0ba9629a,,
229,REG-105,electronic-communications-privacy-act-of-1986,Electronic Communications Privacy Act of 1986,federal,Information Technology,t,3,da09eba447a74813851ef040d1ccfdfac01bd16a386ca7813276712d0f270573,,
230,REG-108,fcc-cable-certification,FCC – Cable Certification,federal,Information Technology,t,3,aa277835bf240d37c8fda59a339c06cfbfe592c6d9e96df2b7418d00bbc0033d,,
231,REG-109,fcc-fixed-microwave-services-licensing,"FCC – Fixed Microwave Services, Licensing",federal,Information Technology,t,3,672488fe19f57a35924859bd4dd541647d45f3f63faa8aeb7f9c8caf721c652e,,
232,REG-110,fcc-wireless-communications-licensing,"FCC – Wireless Communications, Licensing",federal,Information Technology,t,3,8d36bb6022bb49d082009629ca6ad1d22b7b352e2eb1ba8d7356011439c9f591,,
235,REG-116,homeland-security-act-of-2002,Homeland Security Act of 2002,federal,Uncategorized,t,5,c497544a40e714638c3e0939d4b7d661a57ade3d326acb5c4f5b69ead7419861,,f279a191020d9e24bb5855d276e18a9d8fbde11a3d07a429c52731b90046fb69
236,REG-117,junk-fax-prevention-act-of-2005,Junk Fax Prevention Act of 2005,federal,Information Technology,t,3,bb932e836ae7ec7383392eabe43e74850adbf4899547251227e7cd0208f4276a,,
237,REG-119,no-electronic-theft-act,No Electronic Theft Act,federal,Information Technology,t,3,5b552ec2e62efdb376bf5cce4819f21ef44e27c02d691169fda1931e9c8c1b84,,
238,REG-121,telemarketing,Telemarketing,federal,Information Technology,t,3,aec9eba109ab4f95b2bcbd678335cf366a307bd1c2e8221347f10334865ed1a8,,
239,REG-198,american-jobs-creation-act-of-2004,American Jobs Creation Act of 2004,federal,Intellectual Property and Technology Transfer,t,3,76a71523b55aecc28a2a666fedc68487994ea8997ace2c453e310a1900dc3d2e,,
240,REG-201,bayh-dole-act-of-1980,Bayh-Dole Act of 1980,federal,Intellectual Property and Technology Transfer,t,3,7946a4472e32fc450ba58c196f42e2de231f2e2ecad9b544a8cb6b20d752c548,,
241,REG-036,cooperative-research-and-technology-enhancement-ac,Cooperative Research and Technology Enhancement Act (CREATE Act),federal,Uncategorized,t,4,cc501319cc9a6e07870836410fbdcb7a855f5ebba4944a4f33aa204e85bb7d23,,6c48bd9fa6122a3b7f0cd9974327cd5a6e602a091f2e2afcd255490fd105e007
242,REG-226,trademark-revision-act,Trademark Revision Act,federal,Intellectual Property and Technology Transfer,t,3,49a704932825b4c51e16b58b1ff96c8ebdb961413c10c9016136d81a199fe16c,,
243,REG-227,u-s-patent-act,U.S. Patent Act,federal,Intellectual Property and Technology Transfer,t,3,3c234d8e99d2078794b3de06125c0f2c225879ea8882f308c3921b1c60df5339,,
